Nombre de la cuenta,Naturaleza ampliada,Libros contables relevantes,Descripción
Reserva para dividendos,Pasivo/acreedor,Balance General/Balance de Saldos,Reserva para dividendos
Reserva para inventarios obsoletos,Contra activo,Balance General,Reserva para inventarios obsoletos
Reserva para pensiones,Pasivo/acreedor,Balance General/Balance de Saldos,Reserva para pensiones
Reserva para vacaciones,Pasivo/acreedor,Balance General/Balance de Saldos,Reserva para vacaciones
Reserva voluntaria,Pasivo/acreedor,Balance General/Balance de Saldos,Reserva voluntaria
Reserva para riesgos profesionales,Pasivo/acreedor,Balance General/Balance de Saldos,Reserva para riesgos profesionales
Reservas facultativas,Pasivo/acreedor,Balance General/Balance de Saldos,Reservas facultativas
Reservas estatutarias,Pasivo/acreedor,Balance General/Balance de Saldos,Reservas estatutarias
Retiros de socios,Pasivo/acreedor,Balance General/Balance de Saldos,Retiros de socios
Retiros de propietario,Pasivo/acreedor,Balance General/Balance de Saldos,Retiros de propietario
Retiros de accionistas,Pasivo/acreedor,Balance General/Balance de Saldos,Retiros de accionistas
Retiros de dividendos,Pasivo/acreedor,Balance General/Balance de Saldos,Retiros de dividendos
Retiros de utilidades,Pasivo/acreedor,Balance General/Balance de Saldos,Retiros de utilidades
Retiros de inventarios,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Retiros de inventarios
Salarios socios,Gasto/deudor,Estado de Resultados/Balance de Saldos,Salarios socios
Salarios administración,Gasto/deudor,Estado de Resultados/Balance de Saldos,Salarios administración
Salarios por pagar,Pasivo/acreedor,Balance General/Balance de Saldos,Salarios por pagar
Suministros en existencia,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Suministros en existencia
Suministros consumidos en fábrica,Gasto/deudor,Costo de Producción/Balance de Saldos,Suministros consumidos en fábrica
Suministros consumidos en sala de ventas,Gasto/deudor,Estado de Resultados/Balance de Saldos,Suministros consumidos en sala de ventas
Superávit acumulado,Patrimonio/acreedor,Balance General,Superávit acumulado
Superávit por revaluación de activos,Patrimonio/acreedor,Balance General,Superávit por revaluación de activos
Terrenos,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Terrenos
Timbre de prensa,Gasto/deudor,Estado de Resultados/Balance de Saldos,Timbre de prensa
Útiles y enseres en existencia,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Útiles y enseres en existencia
Útiles y enseres consumidos,Gasto/deudor,Estado de Resultados/Balance de Saldos,Útiles y enseres consumidos
Utilidad del ejercicio,Patrimonio/acreedor,Balance General,Utilidad del ejercicio
Utilidades no distribuidas,Patrimonio/acreedor,Balance General,Utilidades no distribuidas
Utilidades retenidas,Patrimonio/acreedor,Balance General,Utilidades retenidas
Valores mobiliarios,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Valores mobiliarios
Vehículos,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Vehículos
Ventas por realizar,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Ventas por realizar
Viáticos,Gasto/deudor,Estado de Resultados/Balance de Saldos,Viáticos
Propaganda,Gasto/deudor,Estado de Resultados/Balance de Saldos,Propaganda
Depreciación máquinas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación máquinas
Depreciación maquinaria,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación maquinaria
Devoluciones y rebajas sobre ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Devoluciones y rebajas sobre ventas
Devoluciones y rebajas sobre compras,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Devoluciones y rebajas sobre compras
Devoluciones y rebajas sobre compras de materia prima,Ganancia/acreedor,Costo de Producción/Estado de Resultados/Balance de Saldos,Devoluciones y rebajas sobre compras de materia prima
Existencias en caja,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencias en caja
Existencias en bancos,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencias en bancos
Existencias en mercaderías,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencias en mercaderías
Existencias en artículos en proceso,Activo/deudor,Costo de Producción/Balance de Saldos,Representa un activo. Existencias en artículos en proceso
Existencias en materia prima,Activo/deudor,Costo de Producción/Balance de Saldos,Representa un activo. Existencias en materia prima
Existencias en artículos terminados,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencias en artículos terminados
Existencias en corto plazo,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencias en corto plazo
Existencias en inversiones a corto plazo,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencias en inversiones a corto plazo
Existencias en inversiones a largo plazo,Activo a Largo Plazo/deudor,Balance General/Balance de Saldos,Existencias en inversiones a largo plazo
Existencias en inversiones en bonos a corto plazo,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencias en inversiones en bonos a corto plazo
Existencias en inversiones en bonos a largo plazo,Activo a Largo Plazo/deudor,Balance General/Balance de Saldos,Existencias en inversiones en bonos a largo plazo
Existencias en seguros no vencidos,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencias en seguros no vencidos
Existencias en seguros vencidos administración,Gasto/deudor,Estado de Resultados/Balance de Saldos,Existencias en seguros vencidos administración
Existencias en seguros vencidos sala de ventas,Gasto/deudor,Estado de Resultados/Balance de Saldos,Existencias en seguros vencidos sala de ventas
Existencias en reparación y mantenimiento maquinaria,Gasto/deudor,Estado de Resultados/Balance de Saldos,Existencias en reparación y mantenimiento maquinaria
Existencias en suministros,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencias en suministros
Existencias en repuestos y accesorios,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencias en repuestos y accesorios
Existencias en repuestos y accesorios consumidos fábrica,Gasto/deudor,Costo de Producción/Balance de Saldos,Existencias en repuestos y accesorios consumidos fábrica
Existencias en mobiliario y equipo,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencias en mobiliario y equipo
Existencias en mobiliario y equipo inservible,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Existencias en mobiliario y equipo inservible
Existencias en papelera y útiles,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencias en papelera y útiles
Existencias en pérdidas acumuladas,Pérdida/deudor,Balance General/Balance de Saldos,Existencias en pérdidas acumuladas
Existencias en préstamos bancarios,Pasivo/acreedor,Balance General/Balance de Saldos,Existencias en préstamos bancarios
Existencias en primas de seguros,Gasto/deudor,Estado de Resultados/Balance de Saldos,Existencias en primas de seguros
Existencias en reserva para seguridad social,Pasivo/acreedor,Balance General/Balance de Saldos,Existencias en reserva para seguridad social
Existencias en reserva para seguros,Pasivo/acreedor,Balance General/Balance de Saldos,Existencias en reserva para seguros
Existencias en reserva para sueldos,Pasivo/acreedor,Balance General,Existencias en reserva para sueldos
Existencias en reserva para vacaciones,Pasivo/acreedor,Balance General,Existencias en reserva para vacaciones
Existencias en reserva para depreciación,Contra activo,Balance General,Existencias en reserva para depreciación
Existencias en reserva para gastos,Pasivo/acreedor,Balance General,Existencias en reserva para gastos
Existencias en reserva para beneficios sociales,Pasivo/acreedor,Balance General,Existencias en reserva para beneficios sociales
Existencias en reserva para dividendos,Pasivo/acreedor,Balance General,Existencias en reserva para dividendos
Existencias en reserva para inversiones,Pasivo/acreedor,Balance General,Existencias en reserva para inversiones
Existencias en reserva para mantenimiento,Pasivo/acreedor,Balance General,Existencias en reserva para mantenimiento
Existencias en reserva para préstamos,Pasivo/acreedor,Balance General,Existencias en reserva para préstamos
Existencias en reserva para retiro de socios,Pasivo/acreedor,Balance General,Existencias en reserva para retiro de socios
Existencias en sociedades,Activo/deudor,Balance General,Representa un activo. Existencias en sociedades
Existencias en socios,Activo/deudor,Balance General,Representa un activo. Existencias en socios
Existencias en viáticos,Gasto/deudor,Estado de Resultados,Existencias en viáticos
Formulas patentadas,Activo Intangible/deudor,Balance General,Formulas patentadas
Fuerza motriz fábrica,Gasto/deudor,Costo de Producción,Fuerza motriz fábrica
Fuerza motriz sala de ventas,Gasto/deudor,Estado de Resultados,Fuerza motriz sala de ventas
Gastos de constitución,Activo Amortizable/deudor,Balance General,Gastos de constitución
Gastos de instalación,Activo Amortizable/deudor,Balance General,Gastos de instalación
Gastos de instalación fábrica,Activo Amortizable/deudor,Balance General,Gastos de instalación fábrica
Gastos de instalación sala de ventas,Activo Amortizable/deudor,Balance General,Gastos de instalación sala de ventas
Gastos de instalación administración,Activo Amortizable/deudor,Balance General,Gastos de instalación administración
Gastos de instalación oficina,Activo Amortizable/deudor,Balance General,Gastos de instalación oficina
Impuesto único sobre inmuebles de sala de ventas,Gasto/deudor,Estado de Resultados,Impuesto único sobre inmuebles de sala de ventas
Impuesto único sobre inmuebles de administración,Gasto/deudor,Estado de Resultados,Impuesto único sobre inmuebles de administración
Impuesto sobre la renta,Gasto/deudor,Estado de Resultados,Impuesto sobre la renta
Impuesto sobre la renta retenido sobre facturas especiales,Pasivo/acreedor,Balance General,Impuesto sobre la renta retenido sobre facturas especiales
Impuesto sobre la renta retenido sobre ganancias de capital,Pasivo/acreedor,Balance General,Impuesto sobre la renta retenido sobre ganancias de capital
Impuesto sobre la renta retenido sobre ventas por acreditar,Activo/deudor,Balance General,Representa un activo. Impuesto sobre la renta retenido sobre ventas por acreditar
Impuesto sobre la renta retenido sobre pago de dividendos,Pasivo/acreedor,Balance General,Impuesto sobre la renta retenido sobre pago de dividendos
Impuesto sobre la renta sobre ganancias de capital,Gasto/deudor,Estado de Resultados,Impuesto sobre la renta sobre ganancias de capital
Impuesto sobre la renta trimestral,Gasto/deudor,Estado de Resultados,Impuesto sobre la renta trimestral
Indemnización fábrica,Gasto/deudor,Costo de Producción,Indemnización fábrica
Indemnización sala de ventas,Gasto/deudor,Estado de Resultados,Indemnización sala de ventas
Indemnización administración,Gasto/deudor,Estado de Resultados,Indemnización administración
Inversiones en bonos a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones en bonos a corto plazo
Inversiones en bonos a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones en bonos a largo plazo
Inversiones mobiliarias,Activo/deudor,Balance General,Representa un activo. Inversiones mobiliarias
Inversiones mobiliarias a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones mobiliarias a corto plazo
Inversiones mobiliarias a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones mobiliarias a largo plazo
Inversiones inmobiliarias,Activo/deudor,Balance General,Representa un activo. Inversiones inmobiliarias
Inversiones inmobiliarias a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones inmobiliarias a corto plazo
Inversiones inmobiliarias a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones inmobiliarias a largo plazo
Inversiones en seguros no vencidos,Activo/deudor,Balance General,Representa un activo. Inversiones en seguros no vencidos
Inversiones en seguros vencidos,Gasto/deudor,Estado de Resultados,Inversiones en seguros vencidos
Inventarios en mercaderías,Activo/deudor,Balance General,Representa un activo. Inventarios en mercaderías
Inventarios en artículos en proceso,Activo/deudor,Costo de Producción,Representa un activo. Inventarios en artículos en proceso
Inventarios en materia prima,Activo/deudor,Costo de Producción,Representa un activo. Inventarios en materia prima
Inventarios en artículos terminados,Activo/deudor,Balance General,Representa un activo. Inventarios en artículos terminados
Inventarios en corto plazo,Activo/deudor,Balance General,Representa un activo. Inventarios en corto plazo
Inventarios en inversiones a corto plazo,Activo/deudor,Balance General,Representa un activo. Inventarios en inversiones a corto plazo
Inventarios en inversiones a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inventarios en inversiones a largo plazo
Inventarios en inversiones en bonos a corto plazo,Activo/deudor,Balance General,Representa un activo. Inventarios en inversiones en bonos a corto plazo
Inventarios en inversiones en bonos a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inventarios en inversiones en bonos a largo plazo
Inventarios en seguros no vencidos,Activo/deudor,Balance General,Representa un activo. Inventarios en seguros no vencidos
Inventarios en seguros vencidos administración,Gasto/deudor,Estado de Resultados,Inventarios en seguros vencidos administración
Inventarios en seguros vencidos sala de ventas,Gasto/deudor,Estado de Resultados,Inventarios en seguros vencidos sala de ventas
Inventarios en reparación y mantenimiento maquinaria,Gasto/deudor,Costo de Producción/Estado de Resultados,Inventarios en reparación y mantenimiento maquinaria
Inventarios en suministros,Activo/deudor,Balance General,Representa un activo. Inventarios en suministros
Inventarios en repuestos y accesorios,Activo/deudor,Balance General,Representa un activo. Inventarios en repuestos y accesorios
Inventarios en repuestos y accesorios consumidos,Gasto/deudor,Costo de Producción/Estado de Resultados,Inventarios en repuestos y accesorios consumidos
Inventarios en mobiliario y equipo,Activo/deudor,Balance General,Representa un activo. Inventarios en mobiliario y equipo
Inventarios en mobiliario y equipo inservible,Pérdida/deudor,Estado de Resultados,Inventarios en mobiliario y equipo inservible
Inventarios en papelera y útiles,Activo/deudor,Balance General,Representa un activo. Inventarios en papelera y útiles
Inventarios en pérdidas acumuladas,Pérdida/deudor,Balance General,Inventarios en pérdidas acumuladas
Inventarios en préstamos bancarios,Pasivo/acreedor,Balance General,Inventarios en préstamos bancarios
Inventarios en primas de seguros,Activo/deudor,Balance General,Representa un activo. Inventarios en primas de seguros
Inventarios en reserva para seguridad social,Pasivo/acreedor,Balance General,Inventarios en reserva para seguridad social
Inventarios en reserva para seguros,Pasivo/acreedor,Balance General,Inventarios en reserva para seguros
Inventarios en reserva para sueldos,Pasivo/acreedor,Balance General,Inventarios en reserva para sueldos
Inventarios en reserva para vacaciones,Pasivo/acreedor,Balance General,Inventarios en reserva para vacaciones
Inventarios en reserva para depreciación,Contra activo,Balance General,Inventarios en reserva para depreciación
Inventarios en reserva para gastos,Pasivo/acreedor,Balance General,Inventarios en reserva para gastos
Inventarios en reserva para beneficios sociales,Pasivo/acreedor,Balance General,Inventarios en reserva para beneficios sociales
Inventarios en reserva para dividendos,Pasivo/acreedor,Balance General,Inventarios en reserva para dividendos
Inventarios en reserva para inversiones,Pasivo/acreedor,Balance General,Inventarios en reserva para inversiones
Inventarios en reserva para mantenimiento,Pasivo/acreedor,Balance General,Inventarios en reserva para mantenimiento
Inventarios en reserva para préstamos,Pasivo/acreedor,Balance General,Inventarios en reserva para préstamos
Inventarios en reserva para retiro de socios,Pasivo/acreedor,Balance General,Inventarios en reserva para retiro de socios
Inventarios en sociedades,Activo/deudor,Balance General,Representa un activo. Inventarios en sociedades
Inventarios en socios,Activo/deudor,Balance General,Representa un activo. Inventarios en socios
Inventarios en viáticos,Gasto/deudor,Estado de Resultados,Inventarios en viáticos
Inversiones,Activo/deudor,Balance General,Representa un activo. Inversiones
Inversiones en bonos,Activo/deudor,Balance General,Representa un activo. Inversiones en bonos
Inversiones en acciones,Activo/deudor,Balance General,Representa un activo. Inversiones en acciones
Inversiones en acciones a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones en acciones a corto plazo
Inversiones en acciones a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones en acciones a largo plazo
Inversiones en acciones preferentes,Activo/deudor,Balance General,Representa un activo. Inversiones en acciones preferentes
Inversiones en acciones preferentes a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones en acciones preferentes a corto plazo
Inversiones en acciones preferentes a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones en acciones preferentes a largo plazo
Inversiones en bonos hipotecarios,Activo/deudor,Balance General,Representa un activo. Inversiones en bonos hipotecarios
Inversiones en bonos hipotecarios a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones en bonos hipotecarios a corto plazo
Inversiones en bonos hipotecarios a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones en bonos hipotecarios a largo plazo
Inversiones en bonos gubernamentales,Activo/deudor,Balance General,Representa un activo. Inversiones en bonos gubernamentales
Inversiones en bonos gubernamentales a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones en bonos gubernamentales a corto plazo
Inversiones en bonos gubernamentales a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones en bonos gubernamentales a largo plazo
Inversiones en fondos de inversión,Activo/deudor,Balance General,Representa un activo. Inversiones en fondos de inversión
Inversiones en fondos de inversión a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones en fondos de inversión a corto plazo
Inversiones en fondos de inversión a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones en fondos de inversión a largo plazo
Inversiones en bienes raíces,Activo/deudor,Balance General,Representa un activo. Inversiones en bienes raíces
Inversiones en bienes raíces a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones en bienes raíces a corto plazo
Inversiones en bienes raíces a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones en bienes raíces a largo plazo
Inversiones en seguros,Activo/deudor,Balance General,Representa un activo. Inversiones en seguros
Inversiones en seguros a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones en seguros a corto plazo
Inversiones en seguros a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones en seguros a largo plazo
Inversiones en títulos valores,Activo/deudor,Balance General,Representa un activo. Inversiones en títulos valores
Inversiones en títulos valores a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones en títulos valores a corto plazo
Inversiones en títulos valores a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones en títulos valores a largo plazo
Inversiones en valores mobiliarios,Activo/deudor,Balance General,Representa un activo. Inversiones en valores mobiliarios
Inversiones en valores mobiliarios a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones en valores mobiliarios a corto plazo
Inversiones en valores mobiliarios a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones en valores mobiliarios a largo plazo
Inversiones en valores negociables,Activo/deudor,Balance General,Representa un activo. Inversiones en valores negociables
Inversiones en valores negociables a corto plazo,Activo/deudor,Balance General,Representa un activo. Inversiones en valores negociables a corto plazo
Inversiones en valores negociables a largo plazo,Activo a Largo Plazo/deudor,Balance General,Inversiones en valores negociables a largo plazo
Libros y publicaciones (existencia),Activo/deudor,Balance General,Representa un activo. Libros y publicaciones (existencia)
Libros y publicaciones consumidos,Gasto/deudor,Estado de Resultados,Libros y publicaciones consumidos
Máquinas,Activo/deudor,Balance General,Representa un activo. Máquinas
Muebles y enseres,Activo/deudor,Balance General,Representa un activo. Muebles y enseres
Mobiliario y equipo de oficina,Activo/deudor,Balance General,Representa un activo. Mobiliario y equipo de oficina
Mobiliario y equipo de sala de ventas,Activo/deudor,Balance General,Representa un activo. Mobiliario y equipo de sala de ventas
Mobiliario y equipo de fábrica,Activo/deudor,Balance General,Representa un activo. Mobiliario y equipo de fábrica
Mobiliario y equipo inservible,Pérdida/deudor,Estado de Resultados,Mobiliario y equipo inservible
Mobiliario y equipo consumido administración,Gasto/deudor,Estado de Resultados,Mobiliario y equipo consumido administración
Mobiliario y equipo consumido sala de ventas,Gasto/deudor,Estado de Resultados,Mobiliario y equipo consumido sala de ventas
Mobiliario y equipo consumido fábrica,Gasto/deudor,Costo de Producción,Mobiliario y equipo consumido fábrica
Mobiliario y equipo inservible administración,Pérdida/deudor,Estado de Resultados,Mobiliario y equipo inservible administración
Mobiliario y equipo inservible sala de ventas,Pérdida/deudor,Estado de Resultados,Mobiliario y equipo inservible sala de ventas
Mobiliario y equipo inservible fábrica,Pérdida/deudor,Costo de Producción,Mobiliario y equipo inservible fábrica
Monto de alquiler de oficina,Gasto/deudor,Estado de Resultados,Monto de alquiler de oficina
Monto de alquiler de sala de ventas,Gasto/deudor,Estado de Resultados,Monto de alquiler de sala de ventas
Monto de alquiler de fábrica,Gasto/deudor,Costo de Producción,Monto de alquiler de fábrica
Monto de alquiler de bodega,Gasto/deudor,Estado de Resultados,Monto de alquiler de bodega
Monto de alquiler de depósitos,Gasto/deudor,Estado de Resultados,Monto de alquiler de depósitos
Monto de alquiler de estacionamiento,Gasto/deudor,Estado de Resultados,Monto de alquiler de estacionamiento
Monto de alquiler de viviendas,Gasto/deudor,Estado de Resultados,Monto de alquiler de viviendas
Monto de alquiler de maquinaria,Gasto/deudor,Estado de Resultados,Monto de alquiler de maquinaria
Monto de alquiler de equipo de computación,Gasto/deudor,Estado de Resultados,Monto de alquiler de equipo de computación
Monto de alquiler de vehículos,Gasto/deudor,Estado de Resultados,Monto de alquiler de vehículos
Monto de alquiler de herramientas,Gasto/deudor,Estado de Resultados,Monto de alquiler de herramientas
Monto de alquiler de suministros,Gasto/deudor,Estado de Resultados,Monto de alquiler de suministros
Amortización gastos de inst. fábrica,Gasto/deudor,Costo de Producción,Amortización gastos de inst. fábrica
Amortización gastos de inst. sala de ventas,Gasto/deudor,Estado de Resultados,Amortización gastos de inst. sala de ventas
Amortización gastos de inst. administración,Gasto/deudor,Estado de Resultados,Amortización gastos de inst. administración
Amortización gastos de inst. oficina,Gasto/deudor,Estado de Resultados,Amortización gastos de inst. oficina
Amortización acum. (Cualquier activo intangible),Contra activo,Balance General,Amortización acum. (Cualquier activo intangible)
Bono 14,Gasto/deudor,Estado de Resultados,Bono 14
Capital autorizado,Patrimonio/acreedor,Balance General,Capital autorizado
Combustibles y lubr. Cons. sala de ventas,Gasto/deudor,Estado de Resultados,Combustibles y lubr. Cons. sala de ventas
Combustibles y lubr. Cons. fábrica,Gasto/deudor,Costo de Producción,Combustibles y lubr. Cons. fábrica
Combustibles y lubr. Cons. administración,Gasto/deudor,Estado de Resultados,Combustibles y lubr. Cons. administración
Depreciación equipo de comp. fábrica,Gasto/deudor,Costo de Producción,Depreciación equipo de comp. fábrica
Devolución y rebajas sobre ventas,Ganancia/acreedor,Estado de Resultados,Devolución y rebajas sobre ventas
Devolución y rebajas sobre compras,Pérdida/deudor,Estado de Resultados,Devolución y rebajas sobre compras
Devolución y rebajas sobre compras de materia prima,Pérdida/deudor,Costo de Producción,Devolución y rebajas sobre compras de materia prima
Efectivo en caja,Activo/deudor,Balance General,Representa un activo. Efectivo en caja
Ganancia antes del impuesto,Ingreso/acreedor,Estado de Resultados,Ganancia antes del impuesto
Ganancia después del impuesto,Ingreso/acreedor,Estado de Resultados,Ganancia después del impuesto
Ganancia antes de reserva,Ingreso/acreedor,Estado de Resultados,Ganancia antes de reserva
Impuesto antes de reserva,Gasto/deudor,Estado de Resultados,Impuesto antes de reserva
Ganancia neta,Ingreso/acreedor,Estado de Resultados,Ganancia neta
Gastos de organización,Activo Amortizable/deudor,Balance General,Gastos de organización
IUSI sala de ventas,Gasto/deudor,Estado de Resultados,IUSI sala de ventas
IUSI administración,Gasto/deudor,Estado de Resultados,IUSI administración
Leasing,Pasivo/acreedor,Balance General,Leasing
Letras por pagar,Pasivo/acreedor,Balance General,Letras por pagar
Licencias,Activo Intangible/deudor,Balance General,Licencias
Maquinarias y equipos,Activo/deudor,Balance General,Representa un activo. Maquinarias y equipos
Prima de seguros,Gasto/deudor,Estado de Resultados,Prima de seguros
Reparación y mantenimiento maquinaria,Gasto/deudor,Costo de Producción/Estado de Resultados,Reparación y mantenimiento maquinaria
Repuestos y accesorios consumidos sala de ventas,Gasto/deudor,Estado de Resultados,Repuestos y accesorios consumidos sala de ventas
Reservas voluntarias,Patrimonio/acreedor,Balance General,Reservas voluntarias
Reservas legales,Patrimonio/acreedor,Balance General,Reservas legales
Retenciones judiciales,Pasivo/acreedor,Balance General,Retenciones judiciales
Retenciones administrativas,Pasivo/acreedor,Balance General,Retenciones administrativas
Retenciones bancarias,Pasivo/acreedor,Balance General,Retenciones bancarias
Retenciones fiscales,Pasivo/acreedor,Balance General,Retenciones fiscales
Retenciones municipales,Pasivo/acreedor,Balance General,Retenciones municipales
Retenciones notariales,Pasivo/acreedor,Balance General,Retenciones notariales
Retenciones aduanales,Pasivo/acreedor,Balance General,Retenciones aduanales
Retenciones ISR,Pasivo/acreedor,Balance General,Retenciones ISR
Retenciones IVA,Pasivo/acreedor,Balance General,Retenciones IVA
Retenciones ISO,Pasivo/acreedor,Balance General,Retenciones ISO
Royalties,Gasto/deudor,Estado de Resultados,Royalties
Seguros no vencidos,Activo/deudor,Balance General,Representa un activo. Seguros no vencidos
Seguros vencidos administración,Gasto/deudor,Estado de Resultados,Seguros vencidos administración
Seguros vencidos sala de ventas,Gasto/deudor,Estado de Resultados,Seguros vencidos sala de ventas
Socio X cuenta personal,Activo/Pasivo,Balance General,Socio X cuenta personal
Socio X cuenta particular,Activo/Pasivo,Balance General,Socio X cuenta particular
Socio X cuenta promesa,Activo/Pasivo,Balance General,Socio X cuenta promesa
Socio X cuenta beneficios,Activo/Pasivo,Balance General,Socio X cuenta beneficios
Sueldos socios,Gasto/deudor,Estado de Resultados,Sueldos socios
Sueldos administración,Gasto/deudor,Estado de Resultados,Sueldos administración
Sueldos por pagar,Pasivo/acreedor,Balance General,Sueldos por pagar
Suministros consumidos,Gasto/deudor,Costo de Producción/Estado de Resultados,Suministros consumidos
Aguinaldos Administración,Gasto/deudor,Estado de Resultados,Aguinaldos Administración
Amortización acumulada (Cualquier activo intangible),Activo Amortizable/deudor,Balance General,Amortización acumulada (Cualquier activo intangible)
Combustibles y lubr. Cons. Fábrica,Gasto/deudor,Costo de Producción,Combustibles y lubr. Cons. Fábrica
Depreciación cristalería,Gasto/deudor,Estado de Resultados,Depreciación cristalería
Dev. y Reb. sobre ventas,Ingreso/acreedor,Estado de Resultados,Dev. y Reb. sobre ventas
Dev. y Reb. sobre compras,Gasto/deudor,Estado de Resultados,Dev. y Reb. sobre compras
Dev. y Reb. sobre compras de materia prima,Gasto/deudor,Costo de Producción,Dev. y Reb. sobre compras de materia prima
Documentos por cobrar a CP (corto plazo),Activo/deudor,Balance General,Representa un activo. Documentos por cobrar a CP (corto plazo)
Documentos por cobrar a LP (largo plazo),Activo a Largo Plazo/deudor,Balance General,Documentos por cobrar a LP (largo plazo)
Documentos por pagar a CP (corto plazo),Pasivo/acreedor,Balance General,Documentos por pagar a CP (corto plazo)
Documentos por pagar a LP (largo plazo),Pasivo a Largo Plazo/acreedor,Balance General,Documentos por pagar a LP (largo plazo)
Efectos por cobrar a CP (corto plazo),Activo/deudor,Balance General,Representa un activo. Efectos por cobrar a CP (corto plazo)
Efectos por cobrar a LP (largo plazo),Activo a Largo Plazo/deudor,Balance General,Efectos por cobrar a LP (largo plazo)
Fuerza motriz administración,Gasto/deudor,Estado de Resultados,Fuerza motriz administración
Grasas y aceites existencia,Activo/deudor,Balance General,Representa un activo. Grasas y aceites existencia
Impuestos sobre la renta,Gasto/deudor,Estado de Resultados,Impuestos sobre la renta
Impuestos sobre la renta por pagar,Pasivo/acreedor,Balance General,Impuestos sobre la renta por pagar
Impuestos sobre la renta pagados por anticipado,Activo/deudor,Balance General,Representa un activo. Impuestos sobre la renta pagados por anticipado
Impuesto sobre la renta por acreditar,Activo/deudor,Balance General,Representa un activo. Impuesto sobre la renta por acreditar
Impuestos sobre la renta retenido sobre facturas especiales,Pasivo/acreedor,Balance General,Impuestos sobre la renta retenido sobre facturas especiales
Impuesto único sobre inmuebles fábrica,Gasto/deudor,Costo de Producción,Impuesto único sobre inmuebles fábrica
Impuesto único sobre inmuebles administración,Gasto/deudor,Estado de Resultados,Impuesto único sobre inmuebles administración
Impuesto único sobre inmuebles sala de ventas,Gasto/deudor,Estado de Resultados,Impuesto único sobre inmuebles sala de ventas
Impuesto único sobre inmuebles por pagar,Pasivo/acreedor,Balance General,Impuesto único sobre inmuebles por pagar
Impuesto único sobre inmuebles retenido,Pasivo/acreedor,Balance General,Impuesto único sobre inmuebles retenido
Inventario de artículos en proceso,Activo/deudor,Costo de Producción,Representa un activo. Inventario de artículos en proceso
Inventario de materia prima,Activo/deudor,Costo de Producción,Representa un activo. Inventario de materia prima
Inventario de artículos terminados,Activo/deudor,Balance General,Representa un activo. Inventario de artículos terminados
Material de empaque existencia,Activo/deudor,Costo de Producción,Representa un activo. Material de empaque existencia
